product_id,product_name,category,total_reviews,avg_rating,test_case_type,edge_case_description,reviews_text
G001,NovaTech PowerBand Gen1,Smartwatches,8,3.75,"BASELINE - mixed sentiment, medium rating",Normal mixed product with typical baseline patterns.,"Review 1 (5 stars): Design feels premium and comfortable on the wrist all day. | Review 2 (4 stars): GPS tracking is pinpoint accurate for running and cycling. | Review 3 (4 stars): Companion app is intuitive and well organised. Only downside is heart rate monitoring is inconsistent during high intensity exercise. | Review 4 (3 stars): Design feels premium and comfortable on the wrist all day. However, strap material irritates skin during workouts and gets sweaty quickly. | Review 5 (2 stars): Voice assistant is slow to respond and often mishears commands. | Review 6 (4 stars): Sleep tracking gives genuinely useful morning insights. | Review 7 (3 stars): Haptic feedback is precise and unobtrusive for notifications. However, gps takes over a minute to lock, frustrating for quick workouts. | Review 8 (5 stars): Battery lasts a full week on a single charge with GPS use."
G013,NovaTech PowerBand Gen3,Smartwatches,8,3.75,"BASELINE - mixed sentiment, medium rating",Normal mixed product with typical baseline patterns.,"Review 1 (5 stars): GPS tracking is pinpoint accurate for running and cycling. | Review 2 (4 stars): Sleep tracking gives genuinely useful morning insights. | Review 3 (4 stars): Design feels premium and comfortable on the wrist all day. Only downside is voice assistant is slow to respond and often mishears commands. | Review 4 (3 stars): GPS tracking is pinpoint accurate for running and cycling. However, case scratches easily and looks worn after a couple of months. | Review 5 (2 stars): Strap material irritates skin during workouts and gets sweaty quickly. | Review 6 (4 stars): Companion app is intuitive and well organised. | Review 7 (3 stars): Health tracking is remarkably accurate, matches clinical readings. However, gps takes over a minute to lock, frustrating for quick workouts. | Review 8 (5 stars): Battery lasts a full week on a single charge with GPS use."
G002,NovaTech MirrorLite 5 Gen1,Cameras,7,3.29,"BASELINE - mixed sentiment, below average rating",Normal mixed product with performance inconsistency.,"Review 1 (4 stars): Menu system is intuitive and quick to navigate. Only downside is menu system takes weeks to learn and is not intuitive. | Review 2 (2 stars): Autofocus hunts in low light despite the marketing. | Review 3 (3 stars): Autofocus is fast and accurate even in low light. However, buffer fills quickly and slows down burst shooting. | Review 4 (5 stars): Video autofocus tracking is smooth and reliable. | Review 5 (1 stars): Bluetooth connection to the app drops constantly. | Review 6 (4 stars): Battery lasts an entire day of moderate shooting. | Review 7 (4 stars): Weight is manageable for travel and street photography. Only downside is grip is uncomfortable for extended sessions with a longer lens."
G014,NovaTech MirrorLite 5 Gen3,Cameras,7,3.29,"BASELINE - mixed sentiment, below average rating",Normal mixed product with performance inconsistency.,"Review 1 (4 stars): Image quality rivals cameras costing twice as much. Only downside is buffer fills quickly and slows down burst shooting. | Review 2 (2 stars): Autofocus hunts in low light despite the marketing. | Review 3 (3 stars): Weather sealing has held up in rain and dust. However, low light noise is worse than expected at higher isos. | Review 4 (5 stars): Menu system is intuitive and quick to navigate. | Review 5 (1 stars): Menu system takes weeks to learn and is not intuitive. | Review 6 (4 stars): Video autofocus tracking is smooth and reliable. | Review 7 (4 stars): Weight is manageable for travel and street photography. Only downside is battery life is disappointing, spare batteries are essential."
G003,NovaTech AirBook Gen1,Laptops,9,4.0,"BASELINE - mostly positive, above average rating",Good product with minor complaints only.,"Review 1 (5 stars): Battery lasts a full workday for typical office use. | Review 2 (3 stars): Trackpad is large, smooth, and gestures work reliably every time. However, keyboard area gets very warm after an hour of use. | Review 3 (4 stars): Runs cool and quiet for everyday tasks like browsing and documents. Only downside is trackpad has an inconsistent surface that grabs against skin. | Review 4 (5 stars): Build quality feels solid and the metal chassis is premium. | Review 5 (4 stars): Display colour accuracy is excellent for design and photo work. Only downside is battery life is a disaster, barely makes it 4 hours with light use. | Review 6 (2 stars): Charging port loosened after a few months of normal use. | Review 7 (4 stars): Trackpad is large, smooth, and gestures work reliably every time. Only downside is fan noise is loud even under moderate load. | Review 8 (4 stars): Port selection is generous, USB-A, USB-C, HDMI, and SD card all included. | Review 9 (5 stars): Battery lasts a full workday for typical office use."
G015,NovaTech AirBook Gen3,Laptops,9,4.0,"BASELINE - mostly positive, above average rating",Good product with minor complaints only.,"Review 1 (5 stars): Battery lasts a full workday for typical office use. | Review 2 (3 stars): Runs cool and quiet for everyday tasks like browsing and documents. However, webcam quality is terrible, pixelated and dark even in good lighting. | Review 3 (4 stars): Port selection is generous, USB-A, USB-C, HDMI, and SD card all included. Only downside is speakers are weak and tinny, unsuitable for media consumption. | Review 4 (5 stars): Boots up in seconds and handles multiple applications without slowdown. | Review 5 (4 stars): Keyboard is the best I have typed on in years, tactile and well spaced. Only downside is display brightness is inadequate for outdoor use in daylight. | Review 6 (2 stars): Trackpad has an inconsistent surface that grabs against skin. | Review 7 (4 stars): Runs cool and quiet for everyday tasks like browsing and documents. Only downside is battery life is a disaster, barely makes it 4 hours with light use. | Review 8 (4 stars): Display colour accuracy is excellent for design and photo work. | Review 9 (5 stars): Battery lasts a full workday for typical office use."
G004,NovaTech OfficeMon 24 Gen1,Computer Peripherals,6,5.0,"EDGE CASE - all 5-star reviews, unanimously positive",Tests whether AI correctly summarises a genuinely excellent product without inventing complaints.,"Review 1 (5 stars): USB hub built into the monitor is genuinely useful. Text rendering is sharp and eye strain is minimal. | Review 2 (5 stars): Thin bezels make dual monitor setups look clean. Response time is fast enough for gaming and professional work. | Review 3 (5 stars): Colour accuracy is outstanding for creative work. Stand is very adjustable, height, tilt, and swivel all smooth. | Review 4 (5 stars): Text rendering is sharp and eye strain is minimal. Blue light filter works well for evening use. | Review 5 (5 stars): Response time is fast enough for gaming and professional work. Factory calibration is impressive right out of the box. | Review 6 (5 stars): Stand is very adjustable, height, tilt, and swivel all smooth. USB hub built into the monitor is genuinely useful."
G005,NovaTech OutdoorBoom Gen1,Speakers,7,1.14,"EDGE CASE - almost all 1-star reviews, product failure",Tests correct handling of near-uniform negative sentiment.,"Review 1 (1 stars): Bass is boomy and overwhelms vocals at higher volumes. Also, bluetooth range drops off after about 5 metres. | Review 2 (1 stars): Charging port cover does not close properly after use. Also, battery life claim of 20 hours is closer to 10 in practice. | Review 3 (1 stars): Bluetooth range drops off after about 5 metres. Also, led indicators are so bright they light up a dark room. | Review 4 (2 stars): Battery life claim of 20 hours is closer to 10 in practice. Also, sound distorts noticeably above 75% volume. | Review 5 (1 stars): LED indicators are so bright they light up a dark room. Also, buttons are recessed and difficult to press with wet hands. | Review 6 (1 stars): Sound distorts noticeably above 75% volume. Also, companion app is buggy and requires frequent reinstalls. | Review 7 (1 stars): Buttons are recessed and difficult to press with wet hands. Also, bass is boomy and overwhelms vocals at higher volumes."
G006,NovaTech CreatorTab 12 Gen1,Tablets,3,4.0,"EDGE CASE - very few reviews (only 3), sparse data",Tests summarisation with minimal information.,"Review 1 (5 stars): Speakers are loud and clear, surprising for a tablet. | Review 2 (3 stars): Fingerprint sensor position on the side is awkward to reach. | Review 3 (4 stars): Split screen multitasking works really well for productivity."
G007,NovaTech ChefMaster Blender Gen2,Kitchen Appliances,8,3.0,"EDGE CASE - highly conflicting reviews, same features rated oppositely",Tests whether AI preserves both sides.,"Review 1 (5 stars): Powerful motor blends frozen fruit effortlessly. Also, timer accuracy is excellent, food comes out consistently. | Review 2 (1 stars): Cord is very short, requires extension cord placement. And, cleaning the crevices requires a small brush not included. | Review 3 (5 stars): Powerful motor blends frozen fruit effortlessly. Also, cleaning is straightforward, most parts are dishwasher safe. | Review 4 (1 stars): Cord is very short, requires extension cord placement. And, buttons feel cheap and unresponsive at times. | Review 5 (5 stars): Powerful motor blends frozen fruit effortlessly. Also, removable inner pot makes cleaning a breeze. | Review 6 (1 stars): Cord is very short, requires extension cord placement. And, non-stick coating started flaking after two months. | Review 7 (5 stars): Powerful motor blends frozen fruit effortlessly. Also, compact footprint fits in a small kitchen counter space. | Review 8 (1 stars): Cord is very short, requires extension cord placement. And, cord is very short, requires extension cord placement."
G008,NovaTech SoundPods Air Gen2,Headphones,6,3.5,EDGE CASE - hallucination trap with vague reviews,Vague reviews that tempt fabrication.,"Review 1 (4 stars): It is quite good overall | Review 2 (3 stars): A bit underwhelming | Review 3 (3 stars): Just okay, nothing special | Review 4 (4 stars): Decent enough purchase | Review 5 (3 stars): Nothing to write home about | Review 6 (4 stars): Recommended for casual use"
